Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Armenia,ARM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.21114999,-41.11376353,-5.669733605,8.179314214,8.743158122,6.796794519,4.353752932,8.56710544,4.640952317,4.130758874,9.917354754,13.62452653,14.61970149,11.11449019,14.56970188,13.8986537,14.42082449,7.602947751,-13.50884214,2.911586968,5.284375308,7.334704541,3.371783587,3.881876701,3.515995473,0.611877151,7.965446065,5.568501179,7.836084387,-7.168664527,5.771427608,12.33833356,8.479020342,3.484216252
American Samoa,ASM,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.126789855,0.680220537,-0.05459527,-3.684976855,2.32559828,-2.160411774,-3.648909859,0.844681592,0.606612624,-3.622022585,-1.628013554,2.790612438,4.296623367,-0.488137584,-5.799364048,4.038507121,0.897584681,5.351787426,0.29788482,3.593276063,,
Antigua and Barbuda,ATG,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,4.096628155,7.682602259,7.761278355,3.570424396,-0.268580069,5.122047064,10.25352261,8.128809182,12.04007092,7.176390219,5.747276017,5.747606411,3.434862982,1.659415325,-0.4388383,3.380941829,4.671924904,-6.247651182,4.425739623,3.33223171,2.765723601,1.942351959,4.437084458,-5.999921113,-0.235736725,4.916227666,4.645194678,5.280706903,11.31964083,7.843446933,-1.470768949,-13.28176806,-9.07945361,-3.108000747,2.273781331,-1.508467911,1.391205732,0.691094825,3.47228425,2.146187576,6.174489769,2.677613194,-19.29454628,7.583674814,8.530771197,1.904886418,3.820191439
Australia,AUS,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,0.46335133,-1.148080552,4.198557186,4.901300074,3.923448178,0.067986874,4.971449833,3.255944736,4.828076137,5.084796088,0.543808091,2.017874158,1.062663505,1.505003941,0.095786724,1.564966117,2.434497124,-0.272989275,2.93205952,1.787333896,1.738544701,1.54942788,-3.553298335,3.345558506,3.885343444,2.473278414,1.011353374,4.0415423,2.129709089,2.055705422,-1.643951636,-0.689832364,3.125295413,2.983767962,2.735332296,2.610752936,2.794925756,3.625181818,3.884968555,2.738929566,0.723509654,2.803479629,1.911812545,3.115856922,1.906093171,1.378027255,1.896638707,1.531150067,-0.185790579,0.642043486,0.993946507,2.118255292,0.851364693,1.076363256,0.729964315,1.166815387,0.609016554,1.350866131,0.673067166,-1.343977433,1.967399837,2.924100641,0.964385754,-0.627097846
Austria,AUT,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,4.960717183,2.021469667,3.471466159,5.419336014,2.810012786,4.904479004,2.241009758,3.931241829,5.909495926,6.749434568,4.646942587,5.59238102,4.310906445,3.765373157,-0.099030431,4.76336935,5.039648225,-0.129830445,5.536447972,1.731377693,-0.398620558,1.938121352,3.139627887,0.057573487,2.450566024,2.236401938,1.29304521,3.149746427,3.420101754,3.553548082,2.413986168,0.976092051,-0.2987538,2.008761305,2.510913051,2.077848702,2.030152416,3.379381263,3.560238147,2.941684642,0.929888061,0.986311684,0.650068296,1.930896889,1.625659096,2.759623701,3.439385492,1.136211312,-3.838493076,1.564533379,2.581103319,0.170488694,-0.836906795,-0.028580547,0.174259723,1.018877232,1.564306897,1.986262964,1.303503176,-6.706393611,4.339758399,4.275933279,-1.930145664,-1.676594419
Azerbaijan,AZE,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.012383104,-23.76120216,-24.25686416,-20.77555855,-12.81342944,0.28021389,4.784282352,8.960886763,6.461584076,10.19102927,9.051821865,8.625351139,9.37646097,8.301538012,26.66009473,32.99706632,24.04867893,8.293390791,7.122238739,3.549455657,-2.847182953,0.853886052,4.483203027,1.522431572,-0.147024804,-4.141174903,-0.824348483,0.62488441,1.615829574,-4.852351546,5.151489356,4.673318014,1.232679755,3.57269253
Burundi,BDI,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,-15.90196524,6.331874888,1.964997138,3.288670218,1.13032095,2.123023174,10.96864413,-2.648490147,-3.576144753,18.71930938,0.279710021,-6.399798922,7.041069108,-3.18211194,-1.769311584,5.551346427,8.644480418,-3.761265919,-0.830806953,-3.159807598,7.684913821,-3.492200293,0.973082537,-2.242127427,9.394384222,1.330433641,3.123289546,2.730074844,-0.620899444,1.363044013,2.846685159,-1.654735446,-3.241248646,-4.452932936,-13.26998523,-8.063500471,-1.582477439,2.768029824,-3.353820296,-2.895427919,-0.469619803,1.542047071,-4.295388278,0.997721141,-2.778948028,1.684736425,-0.304003263,0.623635409,-1.31554958,0.316683988,0.376420688,0.785222154,1.22233332,0.761607166,-6.055503773,-2.296878917,-1.834691663,-1.411807623,-1.476334832,-2.548980787,0.329205803,-0.869930825,-0.096964332,0.84939104
Belgium,BEL,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,4.630257134,4.794034518,3.574353541,5.949139356,2.624444661,2.461462453,3.291575742,3.785044364,6.328283647,6.247845513,3.796488656,4.884088168,6.047488542,4.23677803,-2.248829962,5.464140149,0.501978435,2.745990116,2.249127606,4.329008291,-0.276653762,0.622329065,0.319812571,2.467921209,1.621519047,1.786469858,2.219478239,4.390794858,3.093999118,2.830267877,1.455371862,1.119565668,-1.347999478,2.909318699,2.170550243,1.123650269,3.542803056,1.744347977,3.305681097,3.465478232,0.752467698,1.251994282,0.615852527,3.123931284,1.760456465,1.878174189,2.91838152,-0.343476137,-2.692534717,1.776183416,0.613616928,-0.403775116,-0.166173061,1.314774623,0.887876358,0.682454833,1.084311513,1.415289375,1.89071932,-5.20244011,5.771345643,3.420168308,0.281207552,0.258325283
Benin,BEN,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,1.451144084,-5.111051704,2.825280758,4.6354801,3.234781725,1.500861687,-0.98609372,1.674365521,0.682677458,-0.128531728,-3.687325252,4.011657805,1.307260501,0.907300354,-7.180182238,-1.594456395,2.346730073,-1.334720734,3.739556785,3.878492157,6.875964567,-0.674353711,-7.08354719,4.820793288,4.399750497,-0.831611572,-4.424573155,0.306527533,-5.781173642,5.678424808,1.059894065,-0.174577694,1.243124435,-1.72472268,3.826683556,1.629860214,2.658915884,0.804830625,2.132400379,2.6504315,2.164524391,1.509640257,0.336976511,1.280779944,-1.510433395,0.750089698,2.900175704,1.776470696,-0.703743156,-0.888244805,-0.057123017,1.74647753,4.076668027,3.260772171,-1.184320438,0.36116614,2.6704172,3.737015543,3.982113266,1.120202648,4.413354351,3.58043408,3.703325128,4.840178691
Burkina Faso,BFA,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,,2.550232653,4.587498788,-2.730146958,0.721438385,2.117328006,-1.095808129,7.016896507,1.315164942,0.276666589,-1.616231522,-0.322395573,0.56318249,-1.329507387,6.255875354,0.943213343,6.235397484,-1.94188225,2.032698189,1.014438225,-1.872463415,1.446488859,6.578035335,-2.457063553,-4.573172595,5.428949255,4.952235074,-2.929012654,2.990682684,-0.526129444,-3.187661934,6.338472499,-2.209726904,0.920491455,-1.207760725,3.040325358,8.209981105,3.611022435,4.382315503,4.293848162,-1.107106602,3.409757708,1.17736897,4.492946881,1.24360967,5.295740309,2.988892119,1.001312767,2.736636763,-0.000227774,5.319349159,3.516336236,3.288783465,2.665082759,1.270476556,0.888259828,2.903509091,3.216405217,3.767726783,3.243918662,-0.443420002,4.431005409,-0.819552931,0.64957799,2.653443724
